municipio,tipologia,cantidad
Barichara,Alojamiento,130
Barichara,Atractivos complementarios,14
Barichara,Comercio turistico,21
Barichara,Cultura,14
Barichara,Gastronomia,89
Barichara,Patrimonio,37
Barichara,Servicios turisticos,24
Buga,Alojamiento,83
Buga,"Artes, saberes y oficios",1
Buga,Atractivos complementarios,27
Buga,Comercio turistico,14
Buga,Cultura,11
Buga,Eventos culturales,1
Buga,Experiencias turisticas culturales,3
Buga,Gastronomia,158
Buga,Patrimonio,74
Buga,Servicios turisticos,41
Honda,Alojamiento,87
Honda,Atractivos complementarios,16
Honda,Comercio turistico,12
Honda,Cultura,10
Honda,Gastronomia,97
Honda,Patrimonio,50
Honda,Servicios turisticos,9
Santa Cruz de Lorica,Alojamiento,38
Santa Cruz de Lorica,Atractivos complementarios,13
Santa Cruz de Lorica,Comercio turistico,4
Santa Cruz de Lorica,Cultura,5
Santa Cruz de Lorica,Gastronomia,99
Santa Cruz de Lorica,Patrimonio,68
Santa Cruz de Lorica,Servicios turisticos,2
